_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
637118db31bc828430594b9a|true|50.4|97.69|51.6|65.61|126,1,0,2|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1668356315000
6371188a31bc8284305948f4||44.8|98.31|47.2|74.63|112,1,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1668356234000
63707e8331bc8284308396d0|true|50.38|98.5|53.18|72.88|126,1,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1668316803000
63707e3631bc8284308394c7|true|50.37|98.44|50.37|71.02|63,0,0,0|time|15|-1|0|15.01|0|0|false|false|english_1k|none|normal|false|false|false||1668316726000
636f076c31bc8284307d42ce||39.6|91.6|46.4|64.07|99,5,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1668220780000
636db32731bc828430a661ff||45.58|96.03|49.98|70.91|114,2,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1668133671000
636db2df31bc828430a65f9f|true|42.34|89.71|52.73|70.01|53,3,1,0|time|15|-1|0|15.02|0|0|false|false|english_1k|none|normal|false|false|false||1668133599000
636db2c131bc828430a65ec6|true|38.35|90.16|47.94|58.43|48,3,0,0|time|15|-1|0|15.02|0|0|false|false|english_1k|none|normal|false|false|false||1668133569000
636c6f7f31bc828430e7553b||43.97|96.49|43.97|64.44|110,0,0,0|time|30|-1|0|30.02|0|0|false|false|english_1k|none|normal|false|false|false||1668050815000
636b1b5d264cd938f0f11fce||40.79|90.91|47.18|76.49|102,5,1,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1667963741000
636a19835a147c8486df9709|true|49.18|96.9|50.78|75.13|123,1,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1667897731000
6368a5a011abbca9236acd88|true|48.78|97.67|51.18|74.42|122,1,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1667802528000
63674c5f11abbca9239507b0||47.18|95.38|51.18|68.85|118,2,1,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1667714143000
636606d811abbca923dd9c5b||40|89.6|49.2|70.23|100,7,0,3|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1667630808000
636473af11abbca923b67eec||45.58|93.6|48.38|64.37|114,3,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1667527599000
6363922f11abbca923826eb7||46.8|96.09|51.2|66.9|117,3,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1667469871000
6361ef7b11abbca92349f05b|true|47.6|98.35|47.6|71.03|119,0,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1667362683000
6360b99111abbca923a5e1b9||46.8|95.97|47.6|65.38|117,1,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1667283345000
635fc46111abbca92358653b||44|95.08|48.4|70.95|110,3,0,0|time|30|-1|1|30|0|0.03|false|false|english_1k|none|normal|false|false|false||1667220577000
635c9086e04535b68acdd090||46.78|99.15|46.78|68.57|117,0,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1667010694000
635bd80e082a4bf76dba5485||46.38|98.32|46.38|74.39|116,0,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1666963470000
6359e68ac8c818a09593ebdf||38.79|96.33|43.19|72.04|97,2,0,0|time|30|-1|4|30.01|0|51.41|false|false|english_1k|none|normal|false|false|false||1666836106000
6358bb42c8c818a095002349||44.39|96.52|44.39|67.64|111,0,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1666759490000
63577e75c8c818a09555bb3f||41.6|94.17|46.8|68.38|104,2,0,0|time|30|-1|2|30|0|3.17|false|false|english_1k|none|normal|false|false|false||1666678389000
63561f5bc8c818a09584cd8f||46.4|96.83|49.6|75.1|116,1,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1666588507000
63556f7fc8c818a095996da1||46.77|96.8|49.17|73.65|117,1,0,0|time|30|-1|0|30.02|0|0|false|false|english_1k|none|normal|false|false|false||1666543486000
6353e3f6c8c818a0958e078a||35.19|94.34|40.79|59.51|88,1,1,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1666442230000
63526a7706e312a006b947ce||39.99|94.34|39.99|58.86|100,0,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1666345591000
6351057206e312a006ddc445||45.98|97.54|48.38|67.67|115,1,0,0|time|30|-1|1|30.01|0|1.88|false|false|english_1k|none|normal|false|false|false||1666254194000
634fbf9506e312a0062ca87d||38.4|95.37|41.2|56.65|96,0,1,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1666170773000
634eb03c83ea6bf23477fea2||37.19|93.07|37.19|59.1|93,0,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1666101308000
634cfce516996242665f327e||45.57|95.04|45.57|68.33|114,0,0,0|time|30|-1|0|30.02|0|0|false|false|english_1k|none|normal|false|false|false||1665989861000
6348e192169962426603816e||34.8|93.14|39.6|68.15|87,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1665720722000
6347aea71699624266736a2b||42.8|95.58|43.6|61.43|107,1,0,0|time|30|-1|1|30|0|7.09|false|false|english_1k|none|normal|false|false|false||1665642151000
6346b3d916996242662d4437|true|47.2|98.36|48.8|74.66|118,1,0,0|time|30|-1|1|30|0|8.71|false|false|english_1k|none|normal|false|false|false||1665577945000
63455858169962426667ee0a||42|96.43|44|65.47|105,1,0,0|time|30|-1|1|30|0|0.08|false|false|english_1k|none|normal|false|false|false||1665488984000
63438abda9e0f04cdac07b3b||36.39|96|38.79|65.95|91,1,0,0|time|30|-1|1|30.01|0|2.21|false|false|english_1k|none|normal|false|false|false||1665370813000
63438a6aa9e0f04cdabc082c|true|34.8|95.7|37.2|65.32|87,3,0,1|time|30|-1|1|30|0|7.25|false|false|english_5k|none|normal|false|false|false||1665370730000
6342522ce65ec91000d619f9|true|42.8|98.28|46.4|72.69|107,1,0,0|time|30|-1|4|30|0|28.42|false|false|english_1k|none|normal|false|false|false||1665290796000
6341244fe65ec91000519964||36.8|95.83|36.8|60.17|92,0,0,0|time|30|-1|2|30|0|20.7|false|false|english_1k|none|normal|false|false|false||1665213519000
633fc2a8e65ec91000879433|true|41.99|98.17|43.59|64.85|105,1,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1665122984000
633e96c0e65ec9100005ac17||37.59|94.44|43.19|72.6|94,3,0,0|time|30|-1|1|30.01|0|11.76|false|false|english_1k|none|normal|false|false|false||1665046208000
633d39fd7d21d9a88030ec24|true|39.19|98.04|40.39|67.25|98,1,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1664956925000
633bfab17d21d9a88095c9a0||34.4|96.67|34.4|60.58|86,0,0,0|time|30|-1|2|30|0|15.75|false|false|english_1k|none|normal|false|false|false||1664875185000
633a5d257d21d9a88082b648||33.19|98.81|33.19|65.02|83,0,0,0|time|30|-1|1|30.01|0|12.8|false|false|english_1k|none|normal|false|false|false||1664769317000
6339197f7d21d9a880e7ba53|true|37.6|96.91|37.6|55.81|94,0,0,0|time|30|-1|1|30|0|1.95|false|false|english_1k|none|normal|false|false|false||1664686463000
63379ba27d21d9a880069081|true|36.79|94.85|36.79|55.1|92,0,0,0|time|30|-1|1|30.01|1|7.85|false|false|english_1k|none|normal|false|false|false||1664588706000
633680497d21d9a8809bf692||30.4|95.35|33.2|50.17|76,0,0,1|time|30|-1|1|30|0|8.2|false|false|english_1k|none|normal|false|false|false||1664516169000
633504814876429078ec4d65|true|34.39|93.75|38.39|70.47|86,5,0,0|time|30|-1|3|30.01|0|22.7|false|false|english_1k|none|normal|false|false|false||1664418945000
6333dc94552998cb01d33d8c||26|93.83|32|55.04|65,2,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1664343187000
6332612d5d7cf3354ce8a3c3||29.98|89.25|35.58|55.7|75,3,1,0|time|30|-1|0|30.02|0|0|false|false|english_1k|none|normal|false|false|false||1664246061000
6331747c932c80e3ab1a626a||19.6|88.89|24.8|36.27|49,3,2,0|time|30|-1|0|30|3|0|false|false|english_1k|none|normal|false|false|false||1664185468000
632fc494223bd1e9ced3bca2||31.2|96.3|31.2|51.19|78,0,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1664074900000
632e6f78223bd1e9ce29b0d4||28.78|95|30.78|57.46|72,1,0,0|time|30|-1|0|30.02|1|0|false|false|english_1k|none|normal|false|false|false||1663987576000
632d8a7393d748e72c3decfa||26|94.67|30|53.02|65,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1663928947000
632be2028e3e35732d188af1||26.4|97.22|28.8|50.1|66,1,0,0|time|30|-1|2|30|1|22.26|false|false|english_1k|none|normal|false|false|false||1663820290000
632a727d5094b44afd406d78||28.39|97.26|28.39|50.69|71,0,0,0|time|30|-1|1|30.01|1|2.62|false|false|english_1k|none|normal|false|false|false||1663726204000
632955e074372078d63f4493||29.58|95.24|33.58|61.55|74,2,0,0|time|30|-1|1|30.02|1|2.81|false|false|english_1k|none|normal|false|false|false||1663653344000
6327f79c74372078d68e2bbb||27.19|97.18|27.99|53.16|68,1,0,0|time|30|-1|2|30.01|1|10.45|false|false|english_1k|none|normal|false|false|false||1663563676000
6326b3c26d362617a719e8a3||25.59|92.86|25.59|50.2|64,0,0,0|time|30|-1|1|30.01|0|12.12|false|false|english_1k|none|normal|false|false|false||1663480770000
6325728c6d362617a78ef6c4||29.6|94.25|34.8|66.28|74,3,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1663398540000
6323fb0790677ffc5e22d760||27.2|97.26|29.2|49.58|68,1,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1663302407000
6322ad9d90677ffc5e8572e7||24.8|90.36|33.2|64.25|62,5,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1663217053000
632160ad90677ffc5eed0ef6||29.59|100|29.59|53.56|74,0,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1663131821000
6320542e90677ffc5e9ee7ed||27.2|93.67|31.6|55.67|68,3,0,0|time|30|-1|1|30|0|3.22|false|false|english_1k|none|normal|false|false|false||1663063086000
631ee6bcfba87af969b9bf71||27.2|92.68|32.8|58.92|68,3,1,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662969532000
631d82defba87af969089069||28.4|100|28.4|54.44|71,0,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662878430000
631c2310fba87af9695d59c8||28.4|95.12|32.8|67.37|71,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1662788368000
631ac58f2193818996a3c93d||26.39|97.18|28.39|59.96|66,1,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1662698895000
6319c00023439691db748003|true|31.2|100|31.2|62.07|78,0,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662631936000
63186191add072eedc957fd5||17.6|85.9|31.2|57.21|44,6,0,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662542225000
63171c22d7e9821dfa852a33||17.99|90.91|26.39|49.77|45,3,0,0|time|30|-1|0|30.01|2|0|false|false|english_1k|none|normal|false|false|false||1662458914000
6315c63418d8136fe0fabb2e||12|83.82|27.2|46.81|30,6,0,0|time|30|-1|0|30|2|0|false|false|english_1k|none|normal|false|false|false||1662371380000
63144b2a50d49477cec9d995||23.58|94.12|27.18|46.81|59,2,0,0|time|30|-1|0|30.02|2|0|false|false|english_1k|none|normal|false|false|false||1662274346000
63131ff650d49477ce63c4b5||22|95.08|24.4|55.18|55,2,0,0|time|30|-1|0|30|0|0|false|false|english_1k|none|normal|false|false|false||1662197750000
6311ec0a50d49477ceefbd8c|true|25.19|100|25.19|53.49|63,0,0,0|time|30|-1|0|30.01|1|0|false|false|english_1k|none|normal|false|false|false||1662118922000
631089b350d49477ce4910b6||15.6|85|24|46.93|39,4,2,0|time|30|-1|0|30|1|0|false|false|english_1k|none|normal|false|false|false||1662028211000
630f410250d49477cebcc594||14|79.69|25.59|45.09|35,7,1,0|time|30|-1|0|30.01|3|0|false|false|english_1k|none|normal|false|false|false||1661944066000
630def43c4bb23a266f72d48||24.4|95.45|26.4|43.47|61,2,0,0|time|30|-1|1|30|3|1.29|false|false|english_1k|none|normal|false|false|false||1661857603000
630ca7c0bd468b1369c2e435|true|25.19|95.65|27.59|66.05|63,2,0,0|time|30|-1|0|30.01|0|0|false|false|english_1k|none|normal|false|false|false||1661773760000
630b4f52bd468b13692ac732||21.19|89.71|27.19|44.49|53,4,0,0|time|30|-1|0|30.01|3|0|false|false|english_1k|none|normal|false|false|false||1661685586000
630a08c25caa2272ab6f0c76|true|21.2|94.2|27.6|54.94|53,2,0,0|time|30|-1|0|30|2|0|false|false|english_1k|none|normal|false|false|false||1661601986000
6308b0d95caa2272abd6fcea||19.59|91.07|22.39|40.49|49,4,0,0|time|30|-1|0|30.01|5|0|false|false|english_1k|none|normal|false|false|false||1661513945000
630769015caa2272ab53ca48|true|19.6|90.32|24.8|47.25|49,4,0,0|time|30|-1|0|30|2|0|false|false|english_1k|none|normal|false|false|false||1661430017000
630768ad5caa2272ab53c7c7||17.2|83.05|23.6|46.86|43,6,0,1|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1661429933000
630605065caa2272abb01d6f||17.2|87.5|25.6|47.76|43,5,0,0|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1661338886000
6304e0315caa2272ab53e21b||15.6|84.13|25.2|50.38|39,5,0,0|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1661263921000
63036cef4d8250424f295e71||19.2|91.67|24|45.42|48,3,0,0|time|30|-1|0|30|3|0|false|false|english|none|normal|false|false|false||1661168879000
63020d874d8250424f8de22d||12.4|75|24|43.96|31,10,2,1|time|30|-1|0|30|3|0|false|false|english|none|normal|false|false|false||1661078919000
62fe2e5d4d8250424f07dff1||12.8|86.79|21.2|27.38|32,4,0,0|time|30|-1|0|30|6|0|false|false|english|none|normal|false|false|false||1660825181000
62fcc84e4d8250424f65e63b|true|19.59|84.85|26.39|54|49,7,0,0|time|30|-1|0|30.01|2|0|false|false|english|none|normal|false|false|false||1660733518000
62fb6c794d8250424fd1163e||15.6|95.45|17.6|23.84|39,1,0,0|time|30|-1|0|30|9|0|false|false|english|none|normal|false|false|false||1660644473000
62f752474d8250424f119637||12.4|83.33|21.59|30.23|31,4,1,0|time|30|-1|0|30.01|6|0|false|false|english|none|normal|false|false|false||1660375623000
62f637384d8250424fccee53|true|16.39|100|16.39|29.29|41,0,0,0|time|30|-1|0|30.01|5|0|false|false|english|none|normal|false|false|false||1660303160000
62f4ee454d8250424f4ff5ef||6.8|75|14.4|18.87|17,6,0,0|time|30|-1|0|30.01|9|0|false|false|english|none|normal|false|false|false||1660218949000
62f23fe94d8250424f3b7e02||7.6|89.29|11.2|13.88|19,2,0,0|time|30|-1|0|30.01|11|0|false|false|english|none|normal|false|false|false||1660043241000
62f0efcd4d8250424fb8412d|true|10|100|10|2.89|25,0,0,0|time|30|-1|0|30.01|15|0|false|false|english|none|normal|false|false|false||1659957197000